-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
gemm_ktype0_aiu1_mtype1_dtypeBF16xBF16xFP32xFP32xFP3...         0.00%       0.000us         0.00%       0.000us       0.000us      40.861ms         0.37%      40.861ms      20.700us          1974  
                                 triton_poi_fused_add_0         0.00%       0.000us         0.00%       0.000us       0.000us      40.249ms         0.37%      40.249ms       9.455us          4257  
                            _to_copy_func_kernel_rank_1         0.00%       0.000us         0.00%       0.000us       0.000us      39.250ms         0.36%      39.250ms       5.917us          6633  
                             _copy_kernel_kernel_rank_3         0.00%       0.000us         0.00%       0.000us       0.000us      36.185ms         0.33%      36.185ms       8.311us          4354  
                          _C::dynamic_scaled_int8_quant         0.52%      62.514ms         6.25%     752.192ms       1.062ms      31.031ms         0.28%      66.877ms      94.460us           708  
gemm_ktype0_aiu1_mtype1_dtypeBF16xBF16xFP32xFP32xFP3...         0.00%       0.000us         0.00%       0.000us       0.000us      30.075ms         0.27%      30.075ms      15.997us          1880  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      28.493ms         0.26%      28.493ms      15.882us          1794  
_fused_kv_compress_norm_rope_insert_indexer_attn_sm8...         0.00%       0.000us         0.00%       0.000us       0.000us      28.322ms         0.26%      28.322ms      13.623us          2079  
## Call CompiledFxGraph fb6xuntfupyd4aw6vzovpjgwrgfg...         0.00%       0.000us         0.00%       0.000us       0.000us      28.306ms         0.26%      28.306ms       9.435ms             3  
_ZN7cutlass6KernelINS_4gemm6kernel23GemmWithEpilogue...         0.00%       0.000us         0.00%       0.000us       0.000us      27.834ms         0.25%      27.834ms     647.305us            43  
                      silu_and_mul_kernel_kernel_rank_2         0.00%       0.000us         0.00%       0.000us       0.000us      27.635ms         0.25%      27.635ms       6.492us          4257  
                          _gather_flaggems_jit_function         0.00%       0.000us         0.00%       0.000us       0.000us      24.175ms         0.22%      24.175ms       5.679us          4257  
                                             aten::topk         0.10%      12.606ms         0.42%      50.231ms     389.387us      21.437ms         0.19%      21.700ms     168.217us           129  
                        vllm::fl_fused_inv_rope_float32         0.17%      20.544ms         8.55%        1.029s       2.658ms      20.593ms         0.19%      30.466ms      78.723us           387  
gemm_ktype0_aiu1_mtype1_dtypeBF16xBF16xFP32xFP32xFP3...         0.00%       0.000us         0.00%       0.000us       0.000us      18.958ms         0.17%      18.958ms       9.604us          1974  
                                 triton_poi_fused_add_0         0.02%       2.139ms         0.02%       2.714ms      21.040us      17.121ms         0.16%      17.121ms     132.719us           129  
                                         aten::_to_copy         0.71%      84.909ms         1.23%     148.369ms      74.670us      16.667ms         0.15%      16.780ms       8.445us          1987  
                             _fused_q_kv_rmsnorm_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      16.659ms         0.15%      16.659ms       3.913us          4257  
